Per-epoch status lines (alpha/tau/alive_hard/guards/time):
Epoch 124: Current Alpha: 1.2947, Tau: 2.6792, Alive(hard): 0.270, guards=0, time=0.88s
Epoch 125: Current Alpha: 1.2915, Tau: 2.6742, Alive(hard): 0.269, guards=0, time=0.85s
Epoch 126: Current Alpha: 1.2883, Tau: 2.6692, Alive(hard): 0.270, guards=0, time=0.85s
Epoch 127: Current Alpha: 1.2851, Tau: 2.6642, Alive(hard): 0.271, guards=0, time=0.83s
Epoch 128: Current Alpha: 1.2819, Tau: 2.6591, Alive(hard): 0.270, guards=0, time=0.87s
Epoch 129: Current Alpha: 1.2786, Tau: 2.6541, Alive(hard): 0.270, guards=0, time=0.86s
Epoch 130: Current Alpha: 1.2753, Tau: 2.6489, Alive(hard): 0.270, guards=0, time=0.87s
Epoch 131: Current Alpha: 1.2720, Tau: 2.6438, Alive(hard): 0.270, guards=0, time=0.87s
Epoch 132: Current Alpha: 1.2687, Tau: 2.6386, Alive(hard): 0.270, guards=0, time=0.86s
Epoch 133: Current Alpha: 1.2654, Tau: 2.6334, Alive(hard): 0.273, guards=0, time=0.85s
Epoch 134: Current Alpha: 1.2620, Tau: 2.6281, Alive(hard): 0.273, guards=0, time=0.85s
Epoch 135: Current Alpha: 1.2586, Tau: 2.6228, Alive(hard): 0.273, guards=0, time=0.87s
Epoch 136: Current Alpha: 1.2552, Tau: 2.6175, Alive(hard): 0.274, guards=0, time=0.85s
Epoch 137: Current Alpha: 1.2518, Tau: 2.6122, Alive(hard): 0.273, guards=0, time=0.85s
Epoch 138: Current Alpha: 1.2484, Tau: 2.6068, Alive(hard): 0.272, guards=0, time=0.86s
Epoch 139: Current Alpha: 1.2449, Tau: 2.6014, Alive(hard): 0.272, guards=0, time=0.83s
Epoch 140: Current Alpha: 1.2415, Tau: 2.5960, Alive(hard): 0.271, guards=0, time=0.85s
Epoch 141: Current Alpha: 1.2380, Tau: 2.5906, Alive(hard): 0.273, guards=0, time=0.85s
Epoch 142: Current Alpha: 1.2345, Tau: 2.5851, Alive(hard): 0.272, guards=0, time=0.85s
Epoch 143: Current Alpha: 1.2309, Tau: 2.5796, Alive(hard): 0.273, guards=0, time=0.86s
Epoch 144: Current Alpha: 1.2274, Tau: 2.5741, Alive(hard): 0.273, guards=0, time=0.87s
Epoch 145: Current Alpha: 1.2238, Tau: 2.5685, Alive(hard): 0.273, guards=0, time=0.85s
Epoch 146: Current Alpha: 1.2203, Tau: 2.5629, Alive(hard): 0.272, guards=0, time=0.85s
Epoch 147: Current Alpha: 1.2167, Tau: 2.5573, Alive(hard): 0.272, guards=0, time=0.83s
Epoch 148: Current Alpha: 1.2130, Tau: 2.5516, Alive(hard): 0.272, guards=0, time=0.80s
Epoch 149: Current Alpha: 1.2094, Tau: 2.5460, Alive(hard): 0.272, guards=0, time=0.84s
Epoch 150: Current Alpha: 1.2058, Tau: 2.5403, Alive(hard): 0.271, guards=0, time=0.83s
Epoch 151: Current Alpha: 1.2021, Tau: 2.5345, Alive(hard): 0.270, guards=0, time=0.81s
Epoch 152: Current Alpha: 1.1984, Tau: 2.5288, Alive(hard): 0.271, guards=0, time=0.84s
Epoch 153: Current Alpha: 1.1947, Tau: 2.5230, Alive(hard): 0.271, guards=0, time=0.86s
