Per-epoch status lines (alpha/tau/alive_hard/guards/time):
Epoch 71: Current Alpha: 1.4312, Tau: 2.8925, Alive(hard): 0.410, guards=0, time=1.34s
Epoch 72: Current Alpha: 1.4293, Tau: 2.8895, Alive(hard): 0.415, guards=0, time=1.34s
Epoch 73: Current Alpha: 1.4273, Tau: 2.8864, Alive(hard): 0.416, guards=0, time=1.32s
Epoch 74: Current Alpha: 1.4253, Tau: 2.8833, Alive(hard): 0.415, guards=0, time=1.35s
Epoch 75: Current Alpha: 1.4233, Tau: 2.8801, Alive(hard): 0.414, guards=0, time=1.34s
Epoch 76: Current Alpha: 1.4212, Tau: 2.8769, Alive(hard): 0.414, guards=0, time=1.35s
Epoch 77: Current Alpha: 1.4191, Tau: 2.8737, Alive(hard): 0.414, guards=0, time=1.34s
Epoch 78: Current Alpha: 1.4170, Tau: 2.8704, Alive(hard): 0.413, guards=0, time=1.37s
Epoch 79: Current Alpha: 1.4149, Tau: 2.8671, Alive(hard): 0.417, guards=0, time=1.36s
Epoch 80: Current Alpha: 1.4128, Tau: 2.8637, Alive(hard): 0.418, guards=0, time=1.36s
Epoch 81: Current Alpha: 1.4106, Tau: 2.8603, Alive(hard): 0.418, guards=0, time=1.35s
Epoch 82: Current Alpha: 1.4084, Tau: 2.8569, Alive(hard): 0.416, guards=0, time=1.35s
Epoch 83: Current Alpha: 1.4062, Tau: 2.8534, Alive(hard): 0.417, guards=0, time=1.35s
Epoch 84: Current Alpha: 1.4039, Tau: 2.8499, Alive(hard): 0.416, guards=0, time=1.36s
Epoch 85: Current Alpha: 1.4016, Tau: 2.8463, Alive(hard): 0.418, guards=0, time=1.35s
Epoch 86: Current Alpha: 1.3993, Tau: 2.8427, Alive(hard): 0.416, guards=0, time=1.35s
Epoch 87: Current Alpha: 1.3970, Tau: 2.8391, Alive(hard): 0.418, guards=0, time=1.36s
Epoch 88: Current Alpha: 1.3947, Tau: 2.8354, Alive(hard): 0.418, guards=0, time=1.37s
Epoch 89: Current Alpha: 1.3923, Tau: 2.8317, Alive(hard): 0.421, guards=0, time=1.36s
Epoch 90: Current Alpha: 1.3899, Tau: 2.8280, Alive(hard): 0.423, guards=0, time=1.35s
Epoch 91: Current Alpha: 1.3875, Tau: 2.8242, Alive(hard): 0.422, guards=0, time=1.35s
Epoch 92: Current Alpha: 1.3850, Tau: 2.8204, Alive(hard): 0.420, guards=0, time=1.36s
Epoch 93: Current Alpha: 1.3826, Tau: 2.8165, Alive(hard): 0.421, guards=0, time=1.34s
Epoch 94: Current Alpha: 1.3801, Tau: 2.8126, Alive(hard): 0.420, guards=0, time=1.34s
Epoch 95: Current Alpha: 1.3776, Tau: 2.8087, Alive(hard): 0.421, guards=0, time=1.34s
Epoch 96: Current Alpha: 1.3750, Tau: 2.8047, Alive(hard): 0.421, guards=0, time=1.35s
Epoch 97: Current Alpha: 1.3724, Tau: 2.8007, Alive(hard): 0.421, guards=0, time=1.34s
Epoch 98: Current Alpha: 1.3699, Tau: 2.7967, Alive(hard): 0.421, guards=0, time=1.29s
Epoch 99: Current Alpha: 1.3673, Tau: 2.7926, Alive(hard): 0.420, guards=0, time=1.28s
Epoch 100: Current Alpha: 1.3646, Tau: 2.7885, Alive(hard): 0.420, guards=0, time=1.36s
Epoch 101: Current Alpha: 1.3620, Tau: 2.7843, Alive(hard): 0.419, guards=0, time=1.35s
Epoch 102: Current Alpha: 1.3593, Tau: 2.7801, Alive(hard): 0.420, guards=0, time=1.36s
Epoch 103: Current Alpha: 1.3566, Tau: 2.7759, Alive(hard): 0.419, guards=0, time=1.32s
Epoch 104: Current Alpha: 1.3538, Tau: 2.7716, Alive(hard): 0.418, guards=0, time=1.35s
Epoch 105: Current Alpha: 1.3511, Tau: 2.7673, Alive(hard): 0.419, guards=0, time=1.36s
Epoch 106: Current Alpha: 1.3483, Tau: 2.7630, Alive(hard): 0.417, guards=0, time=1.33s
Epoch 107: Current Alpha: 1.3455, Tau: 2.7586, Alive(hard): 0.416, guards=0, time=1.35s
Epoch 108: Current Alpha: 1.3427, Tau: 2.7542, Alive(hard): 0.418, guards=0, time=1.35s
Epoch 109: Current Alpha: 1.3399, Tau: 2.7498, Alive(hard): 0.419, guards=0, time=1.33s
Epoch 110: Current Alpha: 1.3370, Tau: 2.7453, Alive(hard): 0.421, guards=0, time=1.34s
Epoch 111: Current Alpha: 1.3341, Tau: 2.7408, Alive(hard): 0.420, guards=0, time=1.35s
Epoch 112: Current Alpha: 1.3312, Tau: 2.7363, Alive(hard): 0.421, guards=0, time=1.34s
Epoch 113: Current Alpha: 1.3283, Tau: 2.7317, Alive(hard): 0.420, guards=0, time=1.29s
Epoch 114: Current Alpha: 1.3254, Tau: 2.7271, Alive(hard): 0.421, guards=0, time=1.37s
Epoch 115: Current Alpha: 1.3224, Tau: 2.7225, Alive(hard): 0.421, guards=0, time=1.34s
Epoch 116: Current Alpha: 1.3194, Tau: 2.7178, Alive(hard): 0.422, guards=0, time=1.41s
Epoch 117: Current Alpha: 1.3164, Tau: 2.7131, Alive(hard): 0.422, guards=0, time=1.33s
Epoch 118: Current Alpha: 1.3133, Tau: 2.7083, Alive(hard): 0.422, guards=0, time=1.34s
Epoch 119: Current Alpha: 1.3103, Tau: 2.7036, Alive(hard): 0.421, guards=0, time=1.32s
Epoch 120: Current Alpha: 1.3072, Tau: 2.6988, Alive(hard): 0.421, guards=0, time=1.38s
Epoch 121: Current Alpha: 1.3041, Tau: 2.6939, Alive(hard): 0.421, guards=0, time=1.32s
Epoch 122: Current Alpha: 1.3010, Tau: 2.6891, Alive(hard): 0.420, guards=0, time=1.41s
Epoch 123: Current Alpha: 1.2979, Tau: 2.6841, Alive(hard): 0.420, guards=0, time=1.36s
Epoch 124: Current Alpha: 1.2947, Tau: 2.6792, Alive(hard): 0.420, guards=0, time=1.34s
Epoch 125: Current Alpha: 1.2915, Tau: 2.6742, Alive(hard): 0.422, guards=0, time=1.35s
Epoch 126: Current Alpha: 1.2883, Tau: 2.6692, Alive(hard): 0.422, guards=0, time=1.32s
Epoch 127: Current Alpha: 1.2851, Tau: 2.6642, Alive(hard): 0.421, guards=0, time=1.38s
Epoch 128: Current Alpha: 1.2819, Tau: 2.6591, Alive(hard): 0.424, guards=0, time=1.38s
Epoch 129: Current Alpha: 1.2786, Tau: 2.6541, Alive(hard): 0.424, guards=0, time=1.39s
Epoch 130: Current Alpha: 1.2753, Tau: 2.6489, Alive(hard): 0.424, guards=0, time=1.39s
Epoch 131: Current Alpha: 1.2720, Tau: 2.6438, Alive(hard): 0.423, guards=0, time=1.37s
Epoch 132: Current Alpha: 1.2687, Tau: 2.6386, Alive(hard): 0.423, guards=0, time=1.31s
Epoch 133: Current Alpha: 1.2654, Tau: 2.6334, Alive(hard): 0.423, guards=0, time=1.34s
Epoch 134: Current Alpha: 1.2620, Tau: 2.6281, Alive(hard): 0.424, guards=0, time=1.32s
Epoch 135: Current Alpha: 1.2586, Tau: 2.6228, Alive(hard): 0.422, guards=0, time=1.32s
Epoch 136: Current Alpha: 1.2552, Tau: 2.6175, Alive(hard): 0.422, guards=0, time=1.37s
Epoch 137: Current Alpha: 1.2518, Tau: 2.6122, Alive(hard): 0.421, guards=0, time=1.39s
Epoch 138: Current Alpha: 1.2484, Tau: 2.6068, Alive(hard): 0.423, guards=0, time=1.35s
Epoch 139: Current Alpha: 1.2449, Tau: 2.6014, Alive(hard): 0.425, guards=0, time=1.35s
Epoch 140: Current Alpha: 1.2415, Tau: 2.5960, Alive(hard): 0.426, guards=0, time=1.40s
Epoch 141: Current Alpha: 1.2380, Tau: 2.5906, Alive(hard): 0.430, guards=0, time=1.37s
Epoch 142: Current Alpha: 1.2345, Tau: 2.5851, Alive(hard): 0.427, guards=0, time=1.36s
Epoch 143: Current Alpha: 1.2309, Tau: 2.5796, Alive(hard): 0.426, guards=0, time=1.34s
Epoch 144: Current Alpha: 1.2274, Tau: 2.5741, Alive(hard): 0.426, guards=0, time=1.36s
Epoch 145: Current Alpha: 1.2238, Tau: 2.5685, Alive(hard): 0.425, guards=0, time=1.36s
Epoch 146: Current Alpha: 1.2203, Tau: 2.5629, Alive(hard): 0.428, guards=0, time=1.36s
Epoch 147: Current Alpha: 1.2167, Tau: 2.5573, Alive(hard): 0.427, guards=0, time=1.33s
Epoch 148: Current Alpha: 1.2130, Tau: 2.5516, Alive(hard): 0.428, guards=0, time=1.31s
Epoch 149: Current Alpha: 1.2094, Tau: 2.5460, Alive(hard): 0.428, guards=0, time=1.36s
Epoch 150: Current Alpha: 1.2058, Tau: 2.5403, Alive(hard): 0.429, guards=0, time=1.35s
Epoch 151: Current Alpha: 1.2021, Tau: 2.5345, Alive(hard): 0.429, guards=0, time=1.33s
Epoch 152: Current Alpha: 1.1984, Tau: 2.5288, Alive(hard): 0.430, guards=0, time=1.35s
Epoch 153: Current Alpha: 1.1947, Tau: 2.5230, Alive(hard): 0.435, guards=0, time=1.36s
Epoch 154: Current Alpha: 1.1910, Tau: 2.5172, Alive(hard): 0.436, guards=0, time=1.35s
Epoch 155: Current Alpha: 1.1873, Tau: 2.5114, Alive(hard): 0.439, guards=0, time=1.35s
Epoch 156: Current Alpha: 1.1835, Tau: 2.5055, Alive(hard): 0.437, guards=0, time=1.35s
Epoch 157: Current Alpha: 1.1798, Tau: 2.4996, Alive(hard): 0.439, guards=0, time=1.36s
Epoch 158: Current Alpha: 1.1760, Tau: 2.4937, Alive(hard): 0.444, guards=0, time=1.35s
Epoch 159: Current Alpha: 1.1722, Tau: 2.4878, Alive(hard): 0.443, guards=0, time=1.35s
Epoch 160: Current Alpha: 1.1684, Tau: 2.4819, Alive(hard): 0.443, guards=0, time=1.35s
Epoch 161: Current Alpha: 1.1646, Tau: 2.4759, Alive(hard): 0.442, guards=0, time=1.32s
Epoch 162: Current Alpha: 1.1607, Tau: 2.4699, Alive(hard): 0.443, guards=0, time=1.35s
Epoch 163: Current Alpha: 1.1569, Tau: 2.4639, Alive(hard): 0.443, guards=0, time=1.30s
Epoch 164: Current Alpha: 1.1530, Tau: 2.4578, Alive(hard): 0.443, guards=0, time=1.34s
Epoch 165: Current Alpha: 1.1491, Tau: 2.4518, Alive(hard): 0.443, guards=0, time=1.32s
Epoch 166: Current Alpha: 1.1452, Tau: 2.4457, Alive(hard): 0.443, guards=0, time=1.31s
Epoch 167: Current Alpha: 1.1413, Tau: 2.4395, Alive(hard): 0.444, guards=0, time=1.30s
Epoch 168: Current Alpha: 1.1374, Tau: 2.4334, Alive(hard): 0.444, guards=0, time=1.37s
Epoch 169: Current Alpha: 1.1334, Tau: 2.4272, Alive(hard): 0.443, guards=0, time=1.35s
Epoch 170: Current Alpha: 1.1295, Tau: 2.4211, Alive(hard): 0.445, guards=0, time=1.38s
Epoch 171: Current Alpha: 1.1255, Tau: 2.4149, Alive(hard): 0.445, guards=0, time=1.35s
Epoch 172: Current Alpha: 1.1215, Tau: 2.4086, Alive(hard): 0.451, guards=0, time=1.34s
Epoch 173: Current Alpha: 1.1175, Tau: 2.4024, Alive(hard): 0.447, guards=0, time=1.35s
Epoch 174: Current Alpha: 1.1135, Tau: 2.3961, Alive(hard): 0.448, guards=0, time=1.35s
Epoch 175: Current Alpha: 1.1095, Tau: 2.3898, Alive(hard): 0.447, guards=0, time=1.35s
Epoch 176: Current Alpha: 1.1055, Tau: 2.3835, Alive(hard): 0.447, guards=0, time=1.35s
Epoch 177: Current Alpha: 1.1014, Tau: 2.3772, Alive(hard): 0.446, guards=0, time=1.36s
Epoch 178: Current Alpha: 1.0973, Tau: 2.3709, Alive(hard): 0.446, guards=0, time=1.33s
Epoch 179: Current Alpha: 1.0933, Tau: 2.3645, Alive(hard): 0.445, guards=0, time=1.34s
Epoch 180: Current Alpha: 1.0892, Tau: 2.3581, Alive(hard): 0.444, guards=0, time=1.34s
Epoch 181: Current Alpha: 1.0851, Tau: 2.3517, Alive(hard): 0.445, guards=0, time=1.36s
Epoch 182: Current Alpha: 1.0810, Tau: 2.3453, Alive(hard): 0.444, guards=0, time=1.30s
Epoch 183: Current Alpha: 1.0768, Tau: 2.3388, Alive(hard): 0.444, guards=0, time=1.36s
Epoch 184: Current Alpha: 1.0727, Tau: 2.3324, Alive(hard): 0.445, guards=0, time=1.37s
Epoch 185: Current Alpha: 1.0686, Tau: 2.3259, Alive(hard): 0.445, guards=0, time=1.36s
Epoch 186: Current Alpha: 1.0644, Tau: 2.3194, Alive(hard): 0.446, guards=0, time=1.34s
